id,sifra,naziv,kolicina,cena_bezpdv,vrednost_bezpdv,cena_sapdv,vrednost_sapdv,subcategories,boja,my_id,brend,slka
3330,103716,Dimov.cijev T-racva fi 80 crna emajl,25,9.0909,227.27,11,275,Dimne cijevi,Crna,803,Bez rasporeda po brendovima,https://serpapi.com/searches/67fab4f637bd964b0b3a0322/images/1d71fbeac5eea391e1bc41ee173ddec5a8f61aee51a61ae2d43114ee68af43db.jpeg
3331,103717,Dim.cijev kondez.lonce fi80 crna emajl,22,6.7769,149.09,8.2,180.4,Dimne cijevi,Crna,804,Bez rasporeda po brendovima,https://serpapi.com/searches/67fab4f96513a923d32a5871/images/6f7ca041be45c660f5ff54b36f02b0bf7dd6de528c1bbe42c34d8946bba71007.jpeg
3332,103718,Rozetna fi 80 crna d-hit,16,6.6116,105.79,8,128,Ostalo,Crna,805,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac48f09684b327a59ae60/images/7d6991843df69074bd5c1b1d7c31445003bdd1586df3a0aaa91f529396d60cba.jpeg
3343,103729,Ugr.ploca EBC 200 GB VOX,3,90.9091,272.73,110,330,Ugradne ploče,,806,Vox,https://serpapi.com/searches/67fab8b34da4804ea0dc1b9c/images/abe30cb7a58b5838589b3e5950fa8ba5a1f34d29696fb4f770928a08e4d8e543.jpeg
3348,103734,PlayStation 5 slim digital plus FORTNITE,1,462.8099,462.81,560,560,Konzole,,807,Sony,https://serpapi.com/searches/67fab8403af3337b6be6a581/images/acc200c06c6a7fee6c81bedcb7ac7a38c5d195e9288aadb5c7f29c123d58f248.jpeg
3389,103776,Sjecko za jaja HS52-15,1,2.0661,2.07,2.5,2.5,Aparati za hranu,,808,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac4490608bcabbf16de9f/images/a33ae6993d62e73f516a18a6be5643ec3c6d0406e683535eb51e616c048827d7.jpeg
3394,103781,Ugr.M/S GV 642E60 Gorenje,1,389.2562,389.26,471,471,Mašine za pranje suđa,,809,Gorenje,https://serpapi.com/searches/67fab4ddba966474f5756ba2/images/134e58efcf473e625e8464a2f6d85433f8954d923d5120e6369da4c157aa7835.jpeg
3409,103796,Cepovi za klimu,200,0.0826,16.53,0.1,20,Klime,,810,Bez rasporeda po brendovima,https://serpapi.com/searches/67fac443a8bf0233dde23911/images/32daaa61388293b3d40bb58a2727cb80efb0d9b35ae61d7e247326fd1bdd673b.jpeg
3418,103807,TV 40A4N FHD Smart Hisense,1,233.0579,233.06,282,282,Televizori,,811,Hisense,https://serpapi.com/searches/67fab83cf6e08ece37136935/images/e57e7d525f96457ebde3c6507da328ed68b02d51bbf67f554b92b29a85282558.jpeg
3436,103825,Stak.sporet HKR39C220  Bosch,1,623.9669,623.97,755,755,Šporeti,,812,Bosch,https://serpapi.com/searches/67fab4ecee340324ae7b58f3/images/1db205ffd20028d48b523ebaf92b126f1c795117180dbbd96bcf1e85f8271cec.jpeg
3437,103826,Komb.frizider NF 3830 WF Vox No Frost,1,409.0909,409.09,495,495,Frižideri,,813,Vox,https://serpapi.com/searches/67fab8b6d25b9f2ee132a2b2/images/c92479dba6fbc5a0ad3e197e2873bb098340c7df7cf56a7b5e5457eb798b21db.jpeg
